"name","city","country","state","industry_id","website","description","logo_url","ticker"
"GABELLI DVD&INC","","US","NY","","www.gabelli.com","Gabelli Dividend & Income Trust is a newly organized, non-diversified, closed-end management investment company incorporated in the USA.  The Fund's investment objective is to seek a high level of total return with an emphasis on dividends and income.  The Fund invests at least 80% of its assets in dividend paying or other equity producing securities.","4667.jpg","GDV"
"INTL PAPER CO","Memphis","US","TN","Paper & Forest Products","www.internationalpaper.com","International Paper Company produces and distributes printing paper, packaging, forest products, and chemical products.  The Company operates specialty businesses in global markets as well as a broadly based distribution network. International Paper exports its products worldwide.","478.png","IP"
"COACH INC","New York","US","NY","Textiles, Apparel & Luxury Goods","www.coach.com","Coach, Inc. designs, produces, and markets primarily leather goods. The Company's products include handbags, business cases, men's and women's accessories, luggage and travel accessories, leather outerwear, and gloves. Coach, together with a licensing partner, offers watches, footwear, furniture, and eyewear.","627.gif","COH"
"BT GROUP PLC","London","GB","","Diversified Telecommunication Services","www.btplc.com","BT Group plc provides telecommunications services. The Company provides local and long-distance telephone call products and services in the UK, international telephone calls to and from the UK, broadband network solutions and web hosting to corporate customers, network ADSL, ISDN, and IP services to communication companies and narrowband and broadband internet access and related services.","180.png","BT/A"
"ALPHA NATURAL RE","Bristol","US","VA","Oil, Gas & Consumable Fuels","www.alphanr.com","Alpha Natural Resources, Inc. extracts, processes, and markets steam and metallurgical coal.  The Company conducts operations from surface and underground mines located in the northern and central Appalachian regions and Colorado, all located in the United States.  Alpha Natural Resources markets its coal to electric utilities, steel and other industrial producers.","5289.png","ANR"
"SOFTBANK CORP","Minato-Ku","JP","TK","Wireless Telecommunication Services","www.softbank.co.jp","SoftBank Corp provides telecommunication services.  The Company also operates ADSL (Asymmetric Digital Subscriber Line) and fiber optic high-speed Internet connection, e-Commerce businesses, and Internet based advertising and auction businesses.","58.png","9984"
"BY-HEALTH CO L-A","Zhuhai","CN","","Personal Products","www.by-health.com.cn","By-health Co., Ltd researches, develops, produces and sells dietary supplements. The Company's main products include protein powders, vitamins, minerals, natural herbal extracts and other functional nutritional supplements.","2275.png","300146"
"CYTEC INDS","Woodland Park","US","NJ","Chemicals","www.cytec.com","Cytec Industries Inc. develops, manufactures, and markets specialty chemicals, specialty materials, and building block chemicals.  The Company serves various end users including aerospace, plastics, coatings, mining, paper, water treatment, and automotive industries.","2401.gif","CYT"
"KLOECKNER & CO","Duisburg","DE","","Trading Companies & Distributors","www.kloeckner.de","Kloeckner & Co SE distributes a wide range of steel and metal products.","5436.png","KCO"
"TENAGA NASIONAL","Kuala Lumpur","MY","","Electric Utilities","www.tnb.com.my","Tenaga Nasional Berhad transmits, distributes, and sells electricity under license issued by the Director General of Electricity Supply. Through its subsidiaries, the Company manufactures, sells and repairs transformers and switchgears. Tenaga Nasional also provides project management and consultancy, engineering works and energy project development services.","512.png","TNB"
"VRINGO INC","New York","US","NY","Software","www.vringoinc.com","Vringo, Inc. is engaged in the innovation, development and monetization of mobile technologies and intellectual property. Vringo's intellectual property portfolio consists of patents and patent applications covering telecom infrastructure, internet search, and mobile technologies. The patents and patent applications have been developed internally.","14532.png","VRNG"
"BLC BANK","Beirut","LB","#N/A Field Not Applicable","Commercial Banks","www.blcbank.com","BLC Bank SAL attracts deposits and offers commercial banking services.  The Bank offers trade financing, treasury services, commercial credit, mortgages, and other consumer loans.  BLC Bank focuses on serving small- and medium-sized businesses.","14006.jpg","BLC"
"SHIKUN & BINUI L","Airport City","IL","","Construction & Engineering","www.hch.co.il","Shikun & Binui Ltd. offers construction services.  The Company develops and constructs apartments, single family homes, non-residential buildings, and public works projects, and offers civil engineering services.","5776.jpg","SKBN"
